17,15,11
17,12,11
17,21,15,11
17,21,12,11
17,22,12,11
17,13,12,11
17,15,12,11
17,22,15,11
17,12,15,11
17,12,9,8,11
17,12,21,15,11
17,22,21,15,11
17,12,22,15,11
17,23,22,15,11
17,21,22,15,11
17,13,12,15,11
17,22,12,15,11
17,21,12,15,11
17,21,20,15,11
17,22,15,12,11
17,15,21,12,11
17,22,21,12,11
17,15,22,12,11
17,23,22,12,11
17,21,22,12,11
17,13,9,12,11
17,21,15,12,11
17,15,14,10,11
17,13,9,8,11
17,12,9,7,8,11
17,21,22,12,15,11
17,23,22,12,15,11
17,22,21,12,15,11
17,21,20,14,15,11
17,22,21,20,15,11
17,12,21,20,15,11
17,22,12,21,15,11
17,13,12,21,15,11
17,23,22,21,15,11
17,12,22,21,15,11
17,21,12,22,15,11
17,13,12,22,15,11
17,12,21,22,15,11
17,13,9,12,15,11
17,21,22,15,12,11
17,23,22,15,12,11
17,22,21,15,12,11
17,23,22,21,12,11
17,15,22,21,12,11
17,15,20,21,12,11
17,22,15,21,12,11
17,21,15,22,12,11
17,15,21,22,12,11
17,21,20,15,12,11
17,13,9,8,10,11
17,21,15,14,10,11
17,21,20,14,10,11
17,15,20,14,10,11
17,22,15,14,10,11
17,12,15,14,10,11
17,15,20,18,10,11
17,15,14,18,10,11
17,21,20,18,10,11
17,12,9,8,10,11
17,13,9,7,8,11
17,15,12,9,8,11
17,12,13,9,8,11
17,21,12,9,8,11
17,22,12,9,8,11
17,13,12,9,8,11
17,15,14,10,8,11
