17,15,20
17,21,20
17,21,15,20
17,15,14,20
17,22,21,20
17,12,21,20
17,15,21,20
17,22,15,20
17,12,15,20
17,21,15,14,20
17,22,15,21,20
17,15,22,21,20
17,12,22,21,20
17,23,22,21,20
17,15,12,21,20
17,13,12,21,20
17,22,12,21,20
17,12,15,21,20
17,15,14,18,20
17,22,21,15,20
17,12,22,15,20
17,23,22,15,20
17,21,22,15,20
17,12,11,15,20
17,13,12,15,20
17,22,12,15,20
17,21,12,15,20
17,12,21,15,20
17,12,15,14,20
17,22,15,14,20
17,15,11,10,14,20
17,13,9,12,21,20
17,23,22,12,21,20
17,15,22,12,21,20
17,22,15,12,21,20
17,22,12,15,21,20
17,13,12,15,21,20
17,12,11,15,21,20
17,23,22,15,21,20
17,12,22,15,21,20
17,13,12,22,21,20
17,15,12,22,21,20
17,12,15,22,21,20
17,15,11,12,21,20
17,15,14,10,18,20
17,12,11,10,18,20
17,21,15,14,18,20
17,22,15,14,18,20
17,12,15,14,18,20
17,15,11,10,18,20
17,22,12,11,15,20
17,13,12,11,15,20
17,13,9,12,15,20
17,21,22,12,15,20
17,23,22,12,15,20
17,22,21,12,15,20
17,22,12,21,15,20
17,13,12,21,15,20
17,23,22,21,15,20
17,12,22,21,15,20
17,21,12,22,15,20
17,13,12,22,15,20
17,12,21,22,15,20
17,21,12,11,15,20
17,12,11,10,14,20
17,12,21,15,14,20
17,21,12,15,14,20
17,22,12,15,14,20
17,13,12,15,14,20
17,12,11,15,14,20
17,21,22,15,14,20
17,23,22,15,14,20
17,12,22,15,14,20
17,22,21,15,14,20
