23,17,13
23,22,17,13
23,22,12,13
23,17,12,13
23,22,15,17,13
23,22,15,12,13
23,22,17,12,13
23,17,21,12,13
23,22,21,12,13
23,17,22,12,13
23,17,15,12,13
23,22,12,9,13
23,17,12,9,13
23,22,21,17,13
23,22,12,17,13
23,17,15,12,9,13
23,22,21,15,17,13
23,22,12,21,17,13
23,22,15,21,17,13
23,22,21,12,17,13
23,22,15,12,17,13
23,22,12,15,17,13
23,17,22,15,12,13
23,22,21,15,12,13
23,17,21,15,12,13
23,22,15,17,12,13
23,22,21,17,12,13
23,17,15,21,12,13
23,17,22,21,12,13
23,22,17,21,12,13
23,22,15,21,12,13
23,17,15,22,12,13
23,17,21,22,12,13
23,17,15,11,12,13
23,22,15,11,12,13
23,22,17,15,12,13
23,17,22,12,9,13
23,22,21,12,9,13
23,17,21,12,9,13
23,22,17,12,9,13
23,22,15,12,9,13
