4,2,1
4,3,2,1
4,3,5,1
4,7,5,1
4,2,5,1
4,7,2,1
4,2,5,0,1
4,7,2,5,1
4,2,3,5,1
4,7,3,5,1
4,2,7,5,1
4,3,7,5,1
4,2,8,5,1
4,7,8,5,1
4,3,8,5,1
4,3,2,5,1
4,7,5,2,1
4,3,5,2,1
4,3,7,2,1
4,7,8,2,1
4,3,8,2,1
4,7,3,2,1
4,3,5,0,1
4,7,5,0,1
4,3,2,5,0,1
4,3,8,2,5,1
4,7,8,2,5,1
4,3,7,2,5,1
4,7,2,3,5,1
4,7,8,3,5,1
4,2,8,3,5,1
4,2,7,3,5,1
4,3,2,7,5,1
4,3,8,7,5,1
4,2,8,7,5,1
4,2,3,7,5,1
4,3,2,8,5,1
4,7,9,8,5,1
4,3,7,8,5,1
4,2,7,8,5,1
4,7,3,8,5,1
4,2,3,8,5,1
4,7,2,8,5,1
4,3,8,10,5,1
4,7,8,10,5,1
4,2,8,10,5,1
4,7,3,2,5,1
4,7,5,3,2,1
4,3,8,5,2,1
4,7,8,5,2,1
4,3,7,5,2,1
4,7,3,5,2,1
4,3,8,7,2,1
4,3,5,7,2,1
4,7,9,8,2,1
4,3,7,8,2,1
4,3,5,8,2,1
4,7,5,8,2,1
4,7,3,8,2,1
4,7,8,3,2,1
4,3,8,5,0,1
4,7,8,5,0,1
4,2,8,5,0,1
4,3,7,5,0,1
4,2,7,5,0,1
4,7,3,5,0,1
4,2,3,5,0,1
4,7,2,5,0,1
