7,8,11
7,2,8,11
7,9,12,11
7,8,10,11
7,5,10,11
7,3,8,11
7,5,8,11
7,9,8,11
7,3,2,8,11
7,9,12,15,11
7,9,13,12,11
7,8,9,12,11
7,8,5,10,11
7,3,5,10,11
7,2,8,10,11
7,9,8,10,11
7,5,8,10,11
7,3,8,10,11
7,2,5,10,11
7,5,2,8,11
7,4,2,8,11
7,2,3,8,11
7,5,3,8,11
7,4,3,8,11
7,2,5,8,11
7,3,5,8,11
7,5,10,8,11
7,5,1,2,8,11
7,9,13,12,15,11
7,5,10,14,15,11
7,8,10,14,15,11
7,9,12,17,15,11
7,9,13,17,15,11
7,9,12,21,15,11
7,9,12,22,15,11
7,8,9,12,15,11
7,3,8,9,12,11
7,5,8,9,12,11
7,8,9,13,12,11
7,9,13,17,12,11
7,2,8,9,12,11
7,3,8,5,10,11
7,9,8,5,10,11
7,2,8,5,10,11
7,4,3,5,10,11
7,8,3,5,10,11
7,2,3,5,10,11
7,4,2,5,10,11
7,8,2,5,10,11
7,3,2,5,10,11
7,3,2,8,10,11
7,3,5,8,10,11
7,2,5,8,10,11
7,4,3,8,10,11
7,5,3,8,10,11
7,2,3,8,10,11
7,4,2,8,10,11
7,5,2,8,10,11
7,2,1,5,10,11
7,3,5,2,8,11
7,3,4,2,8,11
7,4,3,2,8,11
7,5,3,2,8,11
7,2,5,3,8,11
7,2,4,3,8,11
7,4,2,3,8,11
7,5,2,3,8,11
7,2,1,5,8,11
7,4,3,5,8,11
7,2,3,5,8,11
7,4,2,5,8,11
7,3,2,5,8,11
7,2,5,10,8,11
7,3,5,10,8,11
