14,10,5,7
14,10,8,7
14,10,5,2,7
14,15,12,9,7
14,10,8,9,7
14,18,10,8,7
14,15,11,8,7
14,10,11,8,7
14,10,5,8,7
14,18,10,5,7
14,10,8,5,7
14,10,8,3,7
14,10,5,3,7
14,10,8,2,7
14,10,5,1,2,7
14,10,11,8,9,7
14,15,11,8,9,7
14,18,10,8,9,7
14,20,15,12,9,7
14,10,11,12,9,7
14,15,11,12,9,7
14,15,22,12,9,7
14,20,21,12,9,7
14,15,21,12,9,7
14,15,17,12,9,7
14,15,17,13,9,7
14,15,12,13,9,7
14,10,5,8,9,7
14,10,5,3,8,7
14,18,10,5,8,7
14,15,12,9,8,7
14,20,18,10,8,7
14,15,11,10,8,7
14,20,15,11,8,7
14,15,12,11,8,7
14,18,10,11,8,7
14,10,5,2,8,7
14,10,8,3,5,7
14,10,11,8,5,7
14,15,11,8,5,7
14,18,10,8,5,7
14,20,18,10,5,7
14,15,11,10,5,7
14,10,8,2,5,7
14,10,8,2,4,7
14,10,5,3,4,7
14,10,8,3,4,7
14,10,5,2,4,7
14,10,8,2,3,7
14,10,8,5,3,7
14,18,10,5,3,7
14,10,5,8,3,7
14,10,11,8,3,7
14,15,11,8,3,7
14,18,10,8,3,7
14,10,5,2,3,7
14,10,5,3,2,7
14,10,8,3,2,7
14,10,8,5,2,7
14,18,10,5,2,7
14,10,5,8,2,7
14,10,11,8,2,7
14,15,11,8,2,7
14,18,10,8,2,7
14,10,5,0,1,2,7
14,18,10,11,8,9,7
14,15,12,11,8,9,7
14,20,15,11,8,9,7
14,15,11,10,8,9,7
14,20,18,10,8,9,7
14,18,10,5,8,9,7
14,10,5,3,8,9,7
14,20,15,11,12,9,7
14,15,17,22,12,9,7
14,15,21,22,12,9,7
14,20,21,22,12,9,7
14,20,15,22,12,9,7
14,15,17,21,12,9,7
14,15,20,21,12,9,7
14,18,20,21,12,9,7
14,15,22,21,12,9,7
14,20,15,21,12,9,7
14,15,21,17,12,9,7
14,20,21,17,12,9,7
14,15,22,17,12,9,7
14,20,15,17,12,9,7
14,20,21,15,12,9,7
14,10,11,15,12,9,7
14,18,20,15,12,9,7
14,15,17,13,12,9,7
14,10,8,11,12,9,7
14,18,10,11,12,9,7
14,15,21,17,13,9,7
14,20,21,17,13,9,7
14,15,22,17,13,9,7
14,15,12,17,13,9,7
14,20,15,17,13,9,7
14,15,17,12,13,9,7
14,15,21,12,13,9,7
14,20,21,12,13,9,7
14,15,22,12,13,9,7
14,15,11,12,13,9,7
14,10,11,12,13,9,7
14,20,15,12,13,9,7
14,10,5,2,8,9,7
14,18,10,5,2,8,7
14,10,5,3,2,8,7
14,10,5,2,3,8,7
14,18,10,5,3,8,7
14,15,11,10,5,8,7
14,20,18,10,5,8,7
14,15,12,13,9,8,7
14,15,17,13,9,8,7
14,15,17,12,9,8,7
14,15,21,12,9,8,7
14,20,21,12,9,8,7
14,15,22,12,9,8,7
14,15,11,12,9,8,7
14,10,11,12,9,8,7
14,20,15,12,9,8,7
14,15,20,18,10,8,7
14,15,12,11,10,8,7
14,20,15,11,10,8,7
14,20,21,15,11,8,7
14,18,20,15,11,8,7
14,15,17,12,11,8,7
14,15,21,12,11,8,7
14,20,21,12,11,8,7
14,15,22,12,11,8,7
14,20,15,12,11,8,7
14,20,18,10,11,8,7
14,10,5,1,2,8,7
14,18,10,8,2,5,7
14,15,11,8,2,5,7
14,10,11,8,2,5,7
14,10,8,3,2,5,7
14,18,10,8,3,5,7
14,15,11,8,3,5,7
14,10,11,8,3,5,7
14,10,8,2,3,5,7
14,18,10,11,8,5,7
14,15,12,11,8,5,7
14,20,15,11,8,5,7
14,15,11,10,8,5,7
14,20,18,10,8,5,7
14,15,12,9,8,5,7
14,15,11,8,10,5,7
14,15,20,18,10,5,7
14,15,12,11,10,5,7
14,20,15,11,10,5,7
14,10,8,2,1,5,7
14,18,10,8,2,4,7
14,15,11,8,2,4,7
14,10,11,8,2,4,7
14,10,5,8,2,4,7
14,18,10,5,2,4,7
14,10,8,5,2,4,7
14,10,8,3,2,4,7
14,10,5,3,2,4,7
14,10,5,2,3,4,7
14,18,10,8,3,4,7
14,15,11,8,3,4,7
14,10,11,8,3,4,7
14,10,5,8,3,4,7
14,18,10,5,3,4,7
14,10,8,5,3,4,7
14,10,8,2,3,4,7
14,10,5,1,2,4,7
14,18,10,8,2,3,7
14,15,11,8,2,3,7
14,10,11,8,2,3,7
14,10,5,8,2,3,7
14,18,10,5,2,3,7
14,10,8,5,2,3,7
14,10,5,2,4,3,7
14,10,8,2,4,3,7
14,10,8,2,5,3,7
14,15,11,10,5,3,7
14,20,18,10,5,3,7
14,18,10,8,5,3,7
14,15,11,8,5,3,7
14,10,11,8,5,3,7
14,10,5,2,8,3,7
14,18,10,11,8,3,7
14,15,12,11,8,3,7
14,20,15,11,8,3,7
14,15,11,10,8,3,7
14,20,18,10,8,3,7
14,15,12,9,8,3,7
14,18,10,5,8,3,7
14,10,5,1,2,3,7
14,18,10,5,1,2,7
14,10,8,5,1,2,7
14,18,10,8,3,2,7
14,15,11,8,3,2,7
14,10,11,8,3,2,7
14,10,5,8,3,2,7
14,18,10,5,3,2,7
14,10,8,5,3,2,7
14,10,8,3,4,2,7
14,10,5,3,4,2,7
14,15,11,10,5,2,7
14,20,18,10,5,2,7
14,18,10,8,5,2,7
14,15,11,8,5,2,7
14,10,11,8,5,2,7
14,10,8,3,5,2,7
14,18,10,11,8,2,7
14,15,12,11,8,2,7
14,20,15,11,8,2,7
14,15,11,10,8,2,7
14,20,18,10,8,2,7
14,15,12,9,8,2,7
14,18,10,5,8,2,7
14,10,5,3,8,2,7
