10,5,1
10,5,0,1
10,8,5,1
10,8,2,1
10,5,2,1
10,8,5,0,1
10,8,3,5,1
10,8,7,5,1
10,11,8,5,1
10,8,2,5,1
10,8,3,2,1
10,8,5,2,1
10,5,7,2,1
10,8,7,2,1
10,5,8,2,1
10,11,8,2,1
10,5,3,2,1
10,8,2,5,0,1
10,8,7,2,5,1
10,8,3,2,5,1
10,8,2,3,5,1
10,11,8,3,5,1
10,8,7,3,5,1
10,8,2,7,5,1
10,8,9,7,5,1
10,11,8,7,5,1
10,8,3,7,5,1
10,11,8,2,5,1
10,5,8,3,2,1
10,8,7,3,2,1
10,5,7,3,2,1
10,8,5,3,2,1
10,8,7,4,2,1
10,5,7,4,2,1
10,8,3,4,2,1
10,5,3,4,2,1
10,11,8,5,2,1
10,8,7,5,2,1
10,8,3,5,2,1
10,8,9,7,2,1
10,11,8,7,2,1
10,5,8,7,2,1
10,8,5,7,2,1
10,8,3,7,2,1
10,5,3,7,2,1
10,5,3,8,2,1
10,5,7,8,2,1
10,11,8,3,2,1
10,11,8,5,0,1
10,8,7,5,0,1
10,8,3,5,0,1
