3,8,11
3,2,8,11
3,8,10,11
3,5,10,11
3,5,8,11
3,7,8,11
3,4,2,8,11
3,8,9,12,11
3,7,9,12,11
3,8,5,10,11
3,7,5,10,11
3,2,8,10,11
3,7,8,10,11
3,5,8,10,11
3,2,5,10,11
3,7,2,8,11
3,5,2,8,11
3,2,5,8,11
3,7,5,8,11
3,2,7,8,11
3,5,7,8,11
3,4,7,8,11
3,7,9,8,11
3,5,10,8,11
3,5,1,2,8,11
3,8,9,12,15,11
3,5,10,14,15,11
3,8,10,14,15,11
3,7,9,12,15,11
3,5,8,9,12,11
3,7,8,9,12,11
3,2,8,9,12,11
3,4,7,9,12,11
3,5,7,9,12,11
3,8,7,9,12,11
3,7,9,13,12,11
3,8,9,13,12,11
3,2,7,9,12,11
3,7,8,5,10,11
3,2,8,5,10,11
3,4,7,5,10,11
3,8,7,5,10,11
3,2,7,5,10,11
3,7,2,5,10,11
3,8,2,5,10,11
3,4,2,5,10,11
3,4,2,8,10,11
3,7,9,8,10,11
3,4,7,8,10,11
3,5,7,8,10,11
3,2,7,8,10,11
3,7,5,8,10,11
3,2,5,8,10,11
3,5,2,8,10,11
3,7,2,8,10,11
3,2,1,5,10,11
3,4,7,2,8,11
3,5,7,2,8,11
3,7,5,2,8,11
3,7,4,2,8,11
3,2,1,5,8,11
3,4,7,5,8,11
3,2,7,5,8,11
3,7,2,5,8,11
3,4,2,5,8,11
3,4,2,7,8,11
3,2,5,7,8,11
3,2,4,7,8,11
3,5,2,7,8,11
3,2,7,9,8,11
3,4,7,9,8,11
3,5,7,9,8,11
3,2,5,10,8,11
3,7,5,10,8,11
