12,9,7
12,9,8,7
12,13,9,7
12,11,8,7
12,9,8,2,7
12,17,13,9,7
12,11,8,9,7
12,11,10,8,7
12,15,11,8,7
12,13,9,8,7
12,11,8,5,7
12,11,10,5,7
12,9,8,5,7
12,11,8,3,7
12,9,8,3,7
12,11,8,2,7
12,9,8,3,2,7
12,11,10,8,9,7
12,15,17,13,9,7
12,21,17,13,9,7
12,22,17,13,9,7
12,15,11,8,9,7
12,17,13,9,8,7
12,15,14,10,8,7
12,15,11,10,8,7
12,21,15,11,8,7
12,22,15,11,8,7
12,17,15,11,8,7
12,11,10,5,8,7
12,11,8,2,5,7
12,9,8,3,5,7
12,11,8,3,5,7
12,13,9,8,5,7
12,15,11,8,5,7
12,11,10,8,5,7
12,9,8,10,5,7
12,15,14,10,5,7
12,15,11,10,5,7
12,11,8,10,5,7
12,9,8,2,5,7
12,11,8,2,4,7
12,9,8,3,4,7
12,11,8,3,4,7
12,9,8,2,4,7
12,11,8,2,3,7
12,9,8,5,3,7
12,11,10,5,3,7
12,11,8,5,3,7
12,13,9,8,3,7
12,15,11,8,3,7
12,11,10,8,3,7
12,9,8,2,3,7
12,11,8,3,2,7
12,9,8,5,2,7
12,11,10,5,2,7
12,11,8,5,2,7
12,13,9,8,2,7
12,15,11,8,2,7
12,11,10,8,2,7
