2,5,10
2,4,7,9,13,12,11,10
2,5,7,9,13,12,11,10
2,8,7,9,13,12,11,10
2,3,7,9,13,12,11,10
2,5,8,7,9,12,11,10
2,3,8,7,9,12,11,10
2,3,5,7,9,12,11,10
2,8,5,7,9,12,11,10
2,1,5,7,9,12,11,10
2,3,4,7,9,12,11,10
2,5,3,7,9,12,11,10
2,8,3,7,9,12,11,10
2,4,3,8,9,12,11,10
2,4,7,8,9,12,11,10
2,5,7,8,9,12,11,10
2,3,7,8,9,12,11,10
2,3,5,8,9,12,11,10
2,7,5,8,9,12,11,10
2,1,5,8,9,12,11,10
2,5,3,8,9,12,11,10
2,7,3,8,9,12,11,10
2,7,9,12,22,15,11,10
2,8,9,12,22,15,11,10
2,7,9,12,21,15,11,10
2,8,9,12,21,15,11,10
2,7,9,12,17,15,11,10
2,8,9,12,17,15,11,10
2,7,9,13,17,15,11,10
2,8,9,13,17,15,11,10
2,3,7,9,12,15,11,10
2,5,8,9,12,15,11,10
2,7,8,9,12,15,11,10
2,3,8,9,12,15,11,10
2,4,7,9,12,15,11,10
2,5,7,9,12,15,11,10
2,8,7,9,12,15,11,10
2,7,9,13,12,15,11,10
2,8,9,13,12,15,11,10
2,5,7,4,3,8,11,10
2,1,0,5,7,3,8,10
2,1,5,3,4,7,8,10
2,1,0,5,3,7,8,10
2,1,5,3,7,9,8,10
2,5,3,4,7,9,8,10
2,1,0,5,7,9,8,10
2,4,3,5,7,9,8,10
2,7,9,12,15,11,8,10
2,3,7,9,12,11,8,10
2,4,7,9,12,11,8,10
2,5,7,9,12,11,8,10
2,7,9,13,12,11,8,10
2,1,5,7,4,3,8,10
2,8,9,7,4,3,5,10
2,4,3,8,9,7,5,10
2,8,11,12,9,7,5,10
2,7,9,12,11,8,5,10
2,3,4,7,9,8,5,10
2,4,3,7,9,8,5,10
2,7,9,12,11,8,3,5,10
2,3,8,11,15,20,14,18,10
2,8,9,12,15,20,14,18,10
2,8,11,12,15,20,14,18,10
2,7,9,12,15,20,14,18,10
2,7,8,11,15,20,14,18,10
2,5,8,11,15,20,14,18,10
2,8,11,15,21,20,14,18,10
2,8,9,12,21,20,14,18,10
2,8,11,12,21,20,14,18,10
2,7,9,12,21,20,14,18,10
2,8,9,12,11,15,14,18,10
2,7,9,12,11,15,14,18,10
2,7,3,8,11,15,14,18,10
2,5,3,8,11,15,14,18,10
2,1,5,8,11,15,14,18,10
2,7,5,8,11,15,14,18,10
2,3,5,8,11,15,14,18,10
2,3,7,8,11,15,14,18,10
2,5,7,8,11,15,14,18,10
2,4,7,8,11,15,14,18,10
2,7,9,8,11,15,14,18,10
2,8,9,13,12,15,14,18,10
2,7,9,13,12,15,14,18,10
2,7,8,11,12,15,14,18,10
2,5,8,11,12,15,14,18,10
2,3,8,11,12,15,14,18,10
2,8,7,9,12,15,14,18,10
2,5,7,9,12,15,14,18,10
2,4,7,9,12,15,14,18,10
2,3,8,9,12,15,14,18,10
2,7,8,9,12,15,14,18,10
2,5,8,9,12,15,14,18,10
2,3,7,9,12,15,14,18,10
2,8,9,13,17,15,14,18,10
2,7,9,13,17,15,14,18,10
2,8,9,12,17,15,14,18,10
2,8,11,12,17,15,14,18,10
2,7,9,12,17,15,14,18,10
2,8,9,12,21,15,14,18,10
2,8,11,12,21,15,14,18,10
2,7,9,12,21,15,14,18,10
2,8,9,12,22,15,14,18,10
2,8,11,12,22,15,14,18,10
2,7,9,12,22,15,14,18,10
2,3,8,11,15,14,20,18,10
2,8,9,13,12,21,20,18,10
2,7,9,13,12,21,20,18,10
2,7,8,11,12,21,20,18,10
2,5,8,11,12,21,20,18,10
2,3,8,11,12,21,20,18,10
2,8,7,9,12,21,20,18,10
2,5,7,9,12,21,20,18,10
2,4,7,9,12,21,20,18,10
2,3,8,9,12,21,20,18,10
2,7,8,9,12,21,20,18,10
2,5,8,9,12,21,20,18,10
2,3,7,9,12,21,20,18,10
2,3,8,11,15,21,20,18,10
2,8,9,12,15,21,20,18,10
2,8,11,12,15,21,20,18,10
2,7,9,12,15,21,20,18,10
2,7,8,11,15,21,20,18,10
2,5,8,11,15,21,20,18,10
2,8,11,15,17,21,20,18,10
2,8,9,13,17,21,20,18,10
2,7,9,13,17,21,20,18,10
2,8,9,12,17,21,20,18,10
2,8,11,12,17,21,20,18,10
2,7,9,12,17,21,20,18,10
2,8,11,15,22,21,20,18,10
2,8,9,12,22,21,20,18,10
2,8,11,12,22,21,20,18,10
2,7,9,12,22,21,20,18,10
2,8,11,15,12,21,20,18,10
2,8,9,12,11,15,20,18,10
2,7,9,12,11,15,20,18,10
2,7,3,8,11,15,20,18,10
2,5,3,8,11,15,20,18,10
2,1,5,8,11,15,20,18,10
2,7,5,8,11,15,20,18,10
2,3,5,8,11,15,20,18,10
2,3,7,8,11,15,20,18,10
2,5,7,8,11,15,20,18,10
2,4,7,8,11,15,20,18,10
2,7,9,8,11,15,20,18,10
2,8,9,13,12,15,20,18,10
2,7,9,13,12,15,20,18,10
2,7,8,11,12,15,20,18,10
2,5,8,11,12,15,20,18,10
2,3,8,11,12,15,20,18,10
2,8,7,9,12,15,20,18,10
2,5,7,9,12,15,20,18,10
2,4,7,9,12,15,20,18,10
2,3,8,9,12,15,20,18,10
2,7,8,9,12,15,20,18,10
2,5,8,9,12,15,20,18,10
2,3,7,9,12,15,20,18,10
2,8,9,13,17,15,20,18,10
2,7,9,13,17,15,20,18,10
2,8,9,12,17,15,20,18,10
2,8,11,12,17,15,20,18,10
2,7,9,12,17,15,20,18,10
2,8,9,12,21,15,20,18,10
2,8,11,12,21,15,20,18,10
2,7,9,12,21,15,20,18,10
2,8,9,12,22,15,20,18,10
2,8,11,12,22,15,20,18,10
2,7,9,12,22,15,20,18,10
2,4,3,8,11,15,20,18,10
2,8,9,12,15,14,20,18,10
2,8,11,12,15,14,20,18,10
2,7,9,12,15,14,20,18,10
2,7,8,11,15,14,20,18,10
2,5,8,11,15,14,20,18,10
2,4,3,8,11,15,14,18,10
2,8,9,13,12,22,15,14,10
2,7,9,13,12,22,15,14,10
2,7,8,11,12,22,15,14,10
2,5,8,11,12,22,15,14,10
2,3,8,11,12,22,15,14,10
2,8,7,9,12,22,15,14,10
2,5,7,9,12,22,15,14,10
2,4,7,9,12,22,15,14,10
2,3,8,9,12,22,15,14,10
2,7,8,9,12,22,15,14,10
2,5,8,9,12,22,15,14,10
2,3,7,9,12,22,15,14,10
2,8,9,13,17,22,15,14,10
2,7,9,13,17,22,15,14,10
2,8,9,12,17,22,15,14,10
2,8,11,12,17,22,15,14,10
2,7,9,12,17,22,15,14,10
2,8,9,12,21,22,15,14,10
2,8,11,12,21,22,15,14,10
2,7,9,12,21,22,15,14,10
2,8,9,13,12,21,15,14,10
2,7,9,13,12,21,15,14,10
2,7,8,11,12,21,15,14,10
2,5,8,11,12,21,15,14,10
2,3,8,11,12,21,15,14,10
2,8,7,9,12,21,15,14,10
2,5,7,9,12,21,15,14,10
2,4,7,9,12,21,15,14,10
2,3,8,9,12,21,15,14,10
2,7,8,9,12,21,15,14,10
2,5,8,9,12,21,15,14,10
2,3,7,9,12,21,15,14,10
2,8,9,13,17,21,15,14,10
2,7,9,13,17,21,15,14,10
2,8,9,12,17,21,15,14,10
2,8,11,12,17,21,15,14,10
2,7,9,12,17,21,15,14,10
2,8,9,12,22,21,15,14,10
2,8,11,12,22,21,15,14,10
2,7,9,12,22,21,15,14,10
2,8,9,12,21,20,15,14,10
2,8,11,12,21,20,15,14,10
2,7,9,12,21,20,15,14,10
2,8,9,13,12,17,15,14,10
2,7,9,13,12,17,15,14,10
2,7,8,11,12,17,15,14,10
2,5,8,11,12,17,15,14,10
2,3,8,11,12,17,15,14,10
2,8,7,9,12,17,15,14,10
2,5,7,9,12,17,15,14,10
2,4,7,9,12,17,15,14,10
2,3,8,9,12,17,15,14,10
2,7,8,9,12,17,15,14,10
2,5,8,9,12,17,15,14,10
2,3,7,9,12,17,15,14,10
2,3,7,9,13,17,15,14,10
2,8,9,12,13,17,15,14,10
2,8,11,12,13,17,15,14,10
2,7,9,12,13,17,15,14,10
2,8,7,9,13,17,15,14,10
2,5,7,9,13,17,15,14,10
2,4,7,9,13,17,15,14,10
2,3,8,9,13,17,15,14,10
2,7,8,9,13,17,15,14,10
2,5,8,9,13,17,15,14,10
2,8,9,12,21,17,15,14,10
2,8,11,12,21,17,15,14,10
2,7,9,12,21,17,15,14,10
2,8,9,12,22,17,15,14,10
2,8,11,12,22,17,15,14,10
2,7,9,12,22,17,15,14,10
2,7,3,8,9,12,15,14,10
2,5,3,8,9,12,15,14,10
2,1,5,8,9,12,15,14,10
2,7,5,8,9,12,15,14,10
2,3,5,8,9,12,15,14,10
2,3,7,8,9,12,15,14,10
2,5,7,8,9,12,15,14,10
2,4,7,8,9,12,15,14,10
2,4,3,8,9,12,15,14,10
2,8,3,7,9,12,15,14,10
2,5,3,7,9,12,15,14,10
2,3,4,7,9,12,15,14,10
2,1,5,7,9,12,15,14,10
2,8,5,7,9,12,15,14,10
2,3,5,7,9,12,15,14,10
2,3,8,7,9,12,15,14,10
2,5,8,7,9,12,15,14,10
2,4,3,8,11,12,15,14,10
2,7,3,8,11,12,15,14,10
2,5,3,8,11,12,15,14,10
2,1,5,8,11,12,15,14,10
2,7,5,8,11,12,15,14,10
2,3,5,8,11,12,15,14,10
2,3,7,8,11,12,15,14,10
2,5,7,8,11,12,15,14,10
2,4,7,8,11,12,15,14,10
2,7,9,8,11,12,15,14,10
2,3,7,9,13,12,15,14,10
2,8,7,9,13,12,15,14,10
2,5,7,9,13,12,15,14,10
2,4,7,9,13,12,15,14,10
2,3,8,9,13,12,15,14,10
2,7,8,9,13,12,15,14,10
2,5,8,9,13,12,15,14,10
2,8,9,13,17,12,15,14,10
2,7,9,13,17,12,15,14,10
2,4,3,7,9,12,15,14,10
2,5,7,9,8,11,15,14,10
2,4,7,9,8,11,15,14,10
2,3,7,9,8,11,15,14,10
2,5,3,7,8,11,15,14,10
2,3,4,7,8,11,15,14,10
2,1,5,7,8,11,15,14,10
2,3,5,7,8,11,15,14,10
2,4,3,7,8,11,15,14,10
2,4,3,5,8,11,15,14,10
2,7,3,5,8,11,15,14,10
2,3,7,5,8,11,15,14,10
2,4,7,5,8,11,15,14,10
2,1,0,5,8,11,15,14,10
2,1,5,3,8,11,15,14,10
2,7,5,3,8,11,15,14,10
2,5,7,3,8,11,15,14,10
2,4,7,3,8,11,15,14,10
2,8,9,13,12,11,15,14,10
2,7,9,13,12,11,15,14,10
2,8,7,9,12,11,15,14,10
2,5,7,9,12,11,15,14,10
2,4,7,9,12,11,15,14,10
2,3,8,9,12,11,15,14,10
2,7,8,9,12,11,15,14,10
2,5,8,9,12,11,15,14,10
2,3,7,9,12,11,15,14,10
2,3,8,11,15,20,18,14,10
2,8,9,12,15,20,18,14,10
2,8,11,12,15,20,18,14,10
2,7,9,12,15,20,18,14,10
2,7,8,11,15,20,18,14,10
2,5,8,11,15,20,18,14,10
2,8,11,15,21,20,18,14,10
2,8,9,12,21,20,18,14,10
2,8,11,12,21,20,18,14,10
2,7,9,12,21,20,18,14,10
2,8,9,13,12,21,20,14,10
2,7,9,13,12,21,20,14,10
2,7,8,11,12,21,20,14,10
2,5,8,11,12,21,20,14,10
2,3,8,11,12,21,20,14,10
2,8,7,9,12,21,20,14,10
2,5,7,9,12,21,20,14,10
2,4,7,9,12,21,20,14,10
2,3,8,9,12,21,20,14,10
2,7,8,9,12,21,20,14,10
2,5,8,9,12,21,20,14,10
2,3,7,9,12,21,20,14,10
2,3,8,11,15,21,20,14,10
2,8,9,12,15,21,20,14,10
2,8,11,12,15,21,20,14,10
2,7,9,12,15,21,20,14,10
2,7,8,11,15,21,20,14,10
2,5,8,11,15,21,20,14,10
2,8,11,15,17,21,20,14,10
2,8,9,13,17,21,20,14,10
2,7,9,13,17,21,20,14,10
2,8,9,12,17,21,20,14,10
2,8,11,12,17,21,20,14,10
2,7,9,12,17,21,20,14,10
2,8,11,15,22,21,20,14,10
2,8,9,12,22,21,20,14,10
2,8,11,12,22,21,20,14,10
2,7,9,12,22,21,20,14,10
2,8,11,15,12,21,20,14,10
2,8,9,12,11,15,20,14,10
2,7,9,12,11,15,20,14,10
2,7,3,8,11,15,20,14,10
2,5,3,8,11,15,20,14,10
2,1,5,8,11,15,20,14,10
2,7,5,8,11,15,20,14,10
2,3,5,8,11,15,20,14,10
2,3,7,8,11,15,20,14,10
2,5,7,8,11,15,20,14,10
2,4,7,8,11,15,20,14,10
2,7,9,8,11,15,20,14,10
2,8,9,13,12,15,20,14,10
2,7,9,13,12,15,20,14,10
2,7,8,11,12,15,20,14,10
2,5,8,11,12,15,20,14,10
2,3,8,11,12,15,20,14,10
2,8,7,9,12,15,20,14,10
2,5,7,9,12,15,20,14,10
2,4,7,9,12,15,20,14,10
2,3,8,9,12,15,20,14,10
2,7,8,9,12,15,20,14,10
2,5,8,9,12,15,20,14,10
2,3,7,9,12,15,20,14,10
2,8,9,13,17,15,20,14,10
2,7,9,13,17,15,20,14,10
2,8,9,12,17,15,20,14,10
2,8,11,12,17,15,20,14,10
2,7,9,12,17,15,20,14,10
2,8,9,12,21,15,20,14,10
2,8,11,12,21,15,20,14,10
2,7,9,12,21,15,20,14,10
2,8,9,12,22,15,20,14,10
2,8,11,12,22,15,20,14,10
2,7,9,12,22,15,20,14,10
2,4,3,8,11,15,20,14,10
2,7,4,3,8,11,15,14,10
2,4,3,5,7,9,8,11,10
2,1,0,5,7,9,8,11,10
2,5,3,4,7,9,8,11,10
2,1,5,3,7,9,8,11,10
2,1,0,5,3,7,8,11,10
2,1,5,3,4,7,8,11,10
2,1,0,5,7,3,8,11,10
2,5,8,3,7,9,12,11,10
2,8,9,13,17,22,12,11,10
2,7,9,13,17,22,12,11,10
2,8,9,13,17,21,12,11,10
2,7,9,13,17,21,12,11,10
2,3,7,9,13,17,12,11,10
2,8,7,9,13,17,12,11,10
2,5,7,9,13,17,12,11,10
2,4,7,9,13,17,12,11,10
2,3,8,9,13,17,12,11,10
2,7,8,9,13,17,12,11,10
2,5,8,9,13,17,12,11,10
2,8,9,13,17,15,12,11,10
2,7,9,13,17,15,12,11,10
2,7,3,8,9,13,12,11,10
2,5,3,8,9,13,12,11,10
2,1,5,8,9,13,12,11,10
2,7,5,8,9,13,12,11,10
2,3,5,8,9,13,12,11,10
2,3,7,8,9,13,12,11,10
2,5,7,8,9,13,12,11,10
2,4,7,8,9,13,12,11,10
2,4,3,8,9,13,12,11,10
2,8,3,7,9,13,12,11,10
2,5,3,7,9,13,12,11,10
2,3,4,7,9,13,12,11,10
2,1,5,7,9,13,12,11,10
2,8,5,7,9,13,12,11,10
2,3,5,7,9,13,12,11,10
2,3,8,7,9,13,12,11,10
2,5,8,7,9,13,12,11,10
2,4,3,7,9,13,12,11,10
2,5,3,8,7,9,12,11,10
2,1,5,8,7,9,12,11,10
2,3,5,8,7,9,12,11,10
2,4,3,8,7,9,12,11,10
2,4,3,5,7,9,12,11,10
2,8,3,5,7,9,12,11,10
2,3,8,5,7,9,12,11,10
2,1,0,5,7,9,12,11,10
2,5,3,4,7,9,12,11,10
2,8,3,4,7,9,12,11,10
2,1,5,3,7,9,12,11,10
2,8,5,3,7,9,12,11,10
2,7,4,3,8,9,12,11,10
2,5,3,7,8,9,12,11,10
2,3,4,7,8,9,12,11,10
2,1,5,7,8,9,12,11,10
2,3,5,7,8,9,12,11,10
2,4,3,7,8,9,12,11,10
2,4,3,5,8,9,12,11,10
2,7,3,5,8,9,12,11,10
2,3,7,5,8,9,12,11,10
2,4,7,5,8,9,12,11,10
2,1,0,5,8,9,12,11,10
2,1,5,3,8,9,12,11,10
2,7,5,3,8,9,12,11,10
2,5,7,3,8,9,12,11,10
2,4,7,3,8,9,12,11,10
2,8,9,13,12,22,15,11,10
2,7,9,13,12,22,15,11,10
2,8,7,9,12,22,15,11,10
2,5,7,9,12,22,15,11,10
2,4,7,9,12,22,15,11,10
2,3,8,9,12,22,15,11,10
2,7,8,9,12,22,15,11,10
2,5,8,9,12,22,15,11,10
2,3,7,9,12,22,15,11,10
2,8,9,13,17,22,15,11,10
2,7,9,13,17,22,15,11,10
2,8,9,12,17,22,15,11,10
2,7,9,12,17,22,15,11,10
2,8,9,12,21,22,15,11,10
2,7,9,12,21,22,15,11,10
2,8,9,13,12,21,15,11,10
2,7,9,13,12,21,15,11,10
2,8,7,9,12,21,15,11,10
2,5,7,9,12,21,15,11,10
2,4,7,9,12,21,15,11,10
2,3,8,9,12,21,15,11,10
2,7,8,9,12,21,15,11,10
2,5,8,9,12,21,15,11,10
2,3,7,9,12,21,15,11,10
2,8,9,13,17,21,15,11,10
2,7,9,13,17,21,15,11,10
2,8,9,12,17,21,15,11,10
2,7,9,12,17,21,15,11,10
2,8,9,12,22,21,15,11,10
2,7,9,12,22,21,15,11,10
2,8,9,12,21,20,15,11,10
2,7,9,12,21,20,15,11,10
2,8,9,13,12,17,15,11,10
2,7,9,13,12,17,15,11,10
2,8,7,9,12,17,15,11,10
2,5,7,9,12,17,15,11,10
2,4,7,9,12,17,15,11,10
2,3,8,9,12,17,15,11,10
2,7,8,9,12,17,15,11,10
2,5,8,9,12,17,15,11,10
2,3,7,9,12,17,15,11,10
2,3,7,9,13,17,15,11,10
2,8,9,12,13,17,15,11,10
2,7,9,12,13,17,15,11,10
2,8,7,9,13,17,15,11,10
2,5,7,9,13,17,15,11,10
2,4,7,9,13,17,15,11,10
2,3,8,9,13,17,15,11,10
2,7,8,9,13,17,15,11,10
2,5,8,9,13,17,15,11,10
2,8,9,12,21,17,15,11,10
2,7,9,12,21,17,15,11,10
2,8,9,12,22,17,15,11,10
2,7,9,12,22,17,15,11,10
2,7,3,8,9,12,15,11,10
2,5,3,8,9,12,15,11,10
2,1,5,8,9,12,15,11,10
2,7,5,8,9,12,15,11,10
2,3,5,8,9,12,15,11,10
2,3,7,8,9,12,15,11,10
2,5,7,8,9,12,15,11,10
2,4,7,8,9,12,15,11,10
2,4,3,8,9,12,15,11,10
2,8,3,7,9,12,15,11,10
2,5,3,7,9,12,15,11,10
2,3,4,7,9,12,15,11,10
2,1,5,7,9,12,15,11,10
2,8,5,7,9,12,15,11,10
2,3,5,7,9,12,15,11,10
2,3,8,7,9,12,15,11,10
2,5,8,7,9,12,15,11,10
2,3,7,9,13,12,15,11,10
2,8,7,9,13,12,15,11,10
2,5,7,9,13,12,15,11,10
2,4,7,9,13,12,15,11,10
2,3,8,9,13,12,15,11,10
2,7,8,9,13,12,15,11,10
2,5,8,9,13,12,15,11,10
2,8,9,13,17,12,15,11,10
2,7,9,13,17,12,15,11,10
2,4,3,7,9,12,15,11,10
2,1,5,7,4,3,8,11,10
2,1,0,5,3,4,7,8,10
2,1,0,5,3,7,9,8,10
2,1,5,3,4,7,9,8,10
2,7,9,13,12,15,11,8,10
2,5,7,9,12,15,11,8,10
2,4,7,9,12,15,11,8,10
2,3,7,9,12,15,11,8,10
2,7,9,13,17,15,11,8,10
2,7,9,12,17,15,11,8,10
2,7,9,12,21,15,11,8,10
2,7,9,12,22,15,11,8,10
2,5,3,7,9,12,11,8,10
2,3,4,7,9,12,11,8,10
2,1,5,7,9,12,11,8,10
2,3,5,7,9,12,11,8,10
2,3,7,9,13,12,11,8,10
2,5,7,9,13,12,11,8,10
2,4,7,9,13,12,11,8,10
2,7,9,13,17,12,11,8,10
2,4,3,7,9,12,11,8,10
2,1,0,5,7,4,3,8,10
2,8,11,12,9,7,3,5,10
2,8,11,15,12,9,7,5,10
2,3,8,11,12,9,7,5,10
2,8,11,12,13,9,7,5,10
2,7,9,13,12,11,8,5,10
2,4,7,9,12,11,8,5,10
2,3,7,9,12,11,8,5,10
2,7,9,12,15,11,8,5,10
