20,15,17
20,21,17
20,21,15,17
20,21,12,17
20,15,12,17
20,21,22,17
20,15,22,17
20,15,21,17
20,14,15,17
20,21,15,12,17
20,21,22,23,17
20,15,22,23,17
20,14,15,22,17
20,15,21,22,17
20,15,12,22,17
20,21,12,22,17
20,21,15,22,17
20,15,22,21,17
20,15,12,21,17
20,14,15,21,17
20,21,12,15,17
20,18,14,15,17
20,21,22,15,17
20,21,12,13,17
20,15,12,13,17
20,14,15,12,17
20,15,21,12,17
20,15,22,12,17
20,21,22,12,17
20,15,11,12,17
20,21,15,11,12,17
20,21,12,22,23,17
20,15,12,22,23,17
20,15,21,22,23,17
20,14,15,22,23,17
20,21,15,22,23,17
20,15,11,12,22,17
20,15,21,12,22,17
20,14,15,12,22,17
20,18,14,15,22,17
20,21,12,15,22,17
20,14,15,21,22,17
20,15,12,21,22,17
20,21,15,12,22,17
20,15,22,12,21,17
20,14,15,12,21,17
20,18,14,15,21,17
20,15,12,22,21,17
20,14,15,22,21,17
20,15,11,12,21,17
20,14,10,11,15,17
20,18,10,11,15,17
20,21,22,12,15,17
20,18,10,14,15,17
20,21,12,22,15,17
20,21,12,11,15,17
20,21,12,9,13,17
20,21,15,12,13,17
20,15,11,12,13,17
20,21,22,12,13,17
20,15,22,12,13,17
20,15,21,12,13,17
20,14,15,12,13,17
20,15,12,9,13,17
20,14,10,11,12,17
20,18,10,11,12,17
20,14,15,11,12,17
20,21,22,15,12,17
20,18,14,15,12,17
20,14,15,21,12,17
20,15,22,21,12,17
20,21,15,22,12,17
20,15,21,22,12,17
20,14,15,22,12,17
20,18,10,8,9,12,17
20,15,12,21,22,23,17
20,14,15,21,22,23,17
20,21,12,15,22,23,17
20,18,14,15,22,23,17
20,14,15,12,22,23,17
20,15,21,12,22,23,17
20,15,11,12,22,23,17
20,21,15,12,22,23,17
20,14,15,21,12,22,17
20,18,14,15,12,22,17
20,14,15,11,12,22,17
20,18,10,11,12,22,17
20,14,10,11,12,22,17
20,21,12,11,15,22,17
20,18,10,14,15,22,17
20,18,10,11,15,22,17
20,14,10,11,15,22,17
20,15,11,12,21,22,17
20,18,14,15,21,22,17
20,14,15,12,21,22,17
20,21,15,11,12,22,17
20,18,14,15,12,21,17
20,14,15,11,12,21,17
20,18,10,11,12,21,17
20,14,10,11,12,21,17
20,18,10,14,15,21,17
20,18,10,11,15,21,17
20,14,10,11,15,21,17
20,18,14,15,22,21,17
20,14,15,12,22,21,17
20,15,11,12,22,21,17
20,14,15,22,12,21,17
20,21,22,12,11,15,17
20,18,14,10,11,15,17
20,14,18,10,11,15,17
20,14,10,8,11,15,17
20,18,10,11,12,15,17
20,14,10,11,12,15,17
20,18,10,8,11,15,17
20,14,15,12,9,13,17
20,15,21,12,9,13,17
20,15,22,12,9,13,17
20,21,22,12,9,13,17
20,15,11,12,9,13,17
20,21,15,12,9,13,17
20,14,10,8,9,13,17
20,15,11,8,9,13,17
20,21,15,11,12,13,17
20,14,15,22,12,13,17
20,15,21,22,12,13,17
20,21,15,22,12,13,17
20,15,22,21,12,13,17
20,14,15,21,12,13,17
20,18,14,15,12,13,17
20,21,22,15,12,13,17
20,14,15,11,12,13,17
